PROVISIONAL ,,,,,,,,,,,,,,,,
AREFNO,Borough,Boro,Latitude,Longitude,Easting,Northing,CREFNO,Casualty Class,Casualty Sex,Casualty Age (Banded),Casualty Age,CasualtyCount,Casualty Severity,Ped Location,Ped Movement,Mode of Travel
1200250736,Wandsworth,10,51.42651612,-0.1439384,529135,171357,1,3 Pedestrian,1 Male,0-4,4,1,2 Serious,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian
1200250892,Ealing,27,51.5517518,-0.3732835,512882,184905,1,3 Pedestrian,2 Female,0-4,2,1,3 Slight,06 On Footpath - Verge,9 Unknown Or Other,1 Pedestrian
1200251143,Barnet,30,51.61305949,-0.27731036,519375,191875,1,2 Passenger,2 Female,0-4,3,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,6 Bus Or Coach
1200251530,Enfield,32,51.66309282,-0.06049821,534238,197815,1,3 Pedestrian,1 Male,0-4,2,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian
1200251627,Redbridge,14,51.5794871,0.10297645,545811,188831,1,3 Pedestrian,1 Male,0-4,2,1,3 Slight,09 In Road - Not Crossing,5 In Rd Not Crossing,1 Pedestrian
1200251698,Hounslow,25,51.49060012,-0.26568218,520503,178276,3,2 Passenger,2 Female,0-4,4,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,4 Car
1200251825,Havering,15,51.58618284,0.19700225,552303,189767,2,2 Passenger,2 Female,0-4,4,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,4 Car
1200253220,Ealing,27,51.54939147,-0.36068931,513761,184662,1,3 Pedestrian,1 Male,0-4,4,1,3 Slight,05 Crossing Road (Not On Xing),2 From Drivers N/Side Msk,1 Pedestrian
1200254153,Hackney,4,51.56802996,-0.07288769,533660,187221,1,3 Pedestrian,1 Male,0-4,2,1,2 Serious,09 In Road - Not Crossing,5 In Rd Not Crossing,1 Pedestrian
1200254378,Lambeth,9,51.4436208,-0.12082527,530693,173300,1,3 Pedestrian,1 Male,0-4,4,1,3 Slight,09 In Road - Not Crossing,9 Unknown Or Other,1 Pedestrian
1200255023,Greenwich,6,51.48777626,0.06565268,543513,178559,1,2 Passenger,1 Male,0-4,3,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,6 Bus Or Coach
1200228208,Hillingdon,26,51.57793832,-0.39880292,511049,187778,1,3 Pedestrian,1 Male,Oct-15,12,1,3 Slight,09 In Road - Not Crossing,9 Unknown Or Other,1 Pedestrian
1200228214,Camden,2,51.51640309,-0.13064491,529804,181376,1,3 Pedestrian,2 Female,Oct-15,10,1,3 Slight,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian
1200228279,Sutton,21,51.36974528,-0.18765533,526252,164968,1,2 Passenger,2 Female,Oct-15,11,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,4 Car
1200228468,Barnet,30,51.58609913,-0.23059148,522682,188954,1,2 Passenger,1 Male,Oct-15,15,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,6 Bus Or Coach
1200228504,Hammersmith & Fulham,11,51.47237238,-0.21180033,524293,176339,1,3 Pedestrian,2 Female,Oct-15,10,1,2 Serious,06 On Footpath - Verge,9 Unknown Or Other,1 Pedestrian
1200228693,Croydon,20,51.3834214,-0.10173581,532193,166640,2,2 Passenger,1 Male,Oct-15,15,1,2 Serious,'-2 Not Applicable,'-2 Not Applicable,3 Powered 2 Wheeler
1200228789,Brent,28,51.55357722,-0.25189114,521293,185302,3,2 Passenger,1 Male,Oct-15,11,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,4 Car
1200228789,Brent,28,51.55357722,-0.25189114,521293,185302,4,2 Passenger,1 Male,Oct-15,11,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,4 Car
1200228871,Brent,28,51.55702399,-0.24663759,521648,185694,2,2 Passenger,1 Male,Oct-15,12,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,4 Car
1200228954,Wandsworth,10,51.46138708,-0.17006384,527222,175189,2,2 Passenger,1 Male,Oct-15,10,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,4 Car
1200228968,Hounslow,25,51.44663338,-0.40354351,511039,173169,1,3 Pedestrian,2 Female,Oct-15,14,1,3 Slight,05 Crossing Road (Not On Xing),4 From Drivers O/Side Msk,1 Pedestrian
1200228971,Newham,17,51.52790055,0.02400151,540498,182940,1,3 Pedestrian,2 Female,Oct-15,13,1,2 Serious,05 Crossing Road (Not On Xing),9 Unknown Or Other,1 Pedestrian
